Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
148,2025-04-20,2771,SMB,Support Microfinance Bittiya Sanstha Ltd.,2410,2410,2360,2392.5,876,2083028.2,2411.91,4026.2,1300,2025-04-20T14:58:29.210776,2405,44,2377.88,2929.46
149,2025-04-20,2784,NADEP,Nadep Laghubittiya bittya Sanstha Ltd.,854.2,879,854.2,879,920,799423,870.02,1190,665,2025-04-20T14:50:59.446804,879,16,868.93,4269.83
150,2025-04-20,2786,PMHPL,Panchakanya Mai Hydropower Ltd,304,309,299,302.19,11106,3363386.8,309.98,348.8,214.2,2025-04-20T14:59:49.391606,304,72,302.84,3324.09
151,2025-04-20,2804,SLBSL,Samudayik Laghubitta Bittiya Sanstha Limited,1751,1785,1735.3,1767.98,4878,8603207.6,1782.79,3047,804,2025-04-20T14:59:57.494999,1735.3,90,1763.67,3019.8
152,2025-04-20,2807,ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,826,834.9,805,832.7,6825,5560699.6,841.35,1177,696.2,2025-04-20T14:45:10.038921,832.7,89,814.75,6104.08
153,2025-04-20,2810,UPCL,UNIVERSAL POWER COMPANY LTD,324.9,324.9,312.9,316.41,269380,85139378.9,319.82,345,183,2025-04-20T14:59:51.369068,318,643,316.05,7213.93
154,2025-04-20,2813,PPCL,Panchthar Power Compant Limited,336,342.7,331.1,332.8,53083,17830215.1,339.18,367.2,220,2025-04-20T14:59:55.08687,334.5,167,335.89,3203.2
155,2025-04-20,2826,GLBSL,Gurans Laghubitta Bittiya Sanstha Limited,2886.5,2990,2886.5,2906.84,1668,4896031.1,2945.32,3486,1560,2025-04-20T14:59:43.186306,2915.5,46,2935.27,3367.56
156,2025-04-20,2829,SMFBS,Swabhimaan Laghubitta Bittiya Sanstha Limited,1902,1940,1831,1845.33,1686,3154922.6,1864.89,2426.4,1111,2025-04-20T14:59:32.875013,1831,38,1871.24,2696.74
157,2025-04-20,2831,UNHPL,Union Hydropower Limited,341,341,323.9,328.77,39886,13150387.2,335.67,371,212.6,2025-04-20T14:59:58.326288,329,212,329.69,2465.78
158,2025-04-20,2841,RHPL,RASUWAGADHI HYDROPOWER COMPANY LIMITED,393,403,393,394.18,43915,17388997.7,400.64,527,260.3,2025-04-20T14:59:39.224694,395,206,395.96,26970.19
159,2025-04-20,2842,SJCL,SANJEN JALAVIDHYUT COMPANY LIMITED,332,334,325.6,327.45,9272,3055459.8,333.7,442,256,2025-04-20T14:58:49.834281,328,115,329.53,11951.92
160,2025-04-20,2859,SIGS2,Siddhartha Investment Growth Scheme - 2,9.91,10.2,9.91,10.01,12380,123705,10.1,10.39,7.71,2025-04-20T14:23:19.766659,10.01,8,9.99,1201.2
161,2025-04-20,2860,SAPDBL,Saptakoshi Development Bank Ltd,1155.9,1177.9,1110,1120.73,43766,49306223.9,1179.48,1622.7,285,2025-04-20T14:59:59.392077,1123.8,382,1126.58,9350.68
162,2025-04-20,2862,CMF2,CITIZENS MUTUAL FUND 2,9.37,9.5,9.37,9.5,10800,102469,9.4,10.68,7.65,2025-04-20T14:17:11.634087,9.5,7,9.48,532
163,2025-04-20,2867,NMB50,NMB 50,10.7,10.75,10.59,10.6,12515,132999.5,10.6,12.54,8.95,2025-04-20T14:33:04.735393,10.6,7,10.62,1325
164,2025-04-20,2869,NICAD8283,11% NIC Asia Debenture 082/83,1140,1140,1120,1120,38,42560,1140,1262.7,1032.5,2025-04-20T11:28:17.289536,1120,2,1120,2049.6
